source,page_type,notice_title,notice_date,company,license_no,business,province,license_prefix,notice_url,year
工信部,新发证名单,《中华人民共和国增值电信业务经营许可证》发放名单-(2026)第16批,2026-05-19,安徽云戟网络科技有限公司,B2-20261549,国内呼叫中心业务,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=536,2026
工信部,新发证名单,《中华人民共和国增值电信业务经营许可证》发放名单-(2026)第13批,2026-04-20,安徽莱傲企业管理服务有限公司,B2-20261306,国内呼叫中心业务,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=530,2026
工信部,新发证名单,《中华人民共和国增值电信业务经营许可证》发放名单-(2026)第3批,2026-01-28,安徽利全金融信息服务有限公司,B2-20260223,国内呼叫中心业务,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=511,2026
工信部,新发证名单,《中华人民共和国增值电信业务经营许可证》发放名单-(2025)第44批,2025-12-17,安徽博北技术服务有限公司,B2-20240383,国内呼叫中心业务,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=500,2025
工信部,新发证名单,《中华人民共和国增值电信业务经营许可证》发放名单-(2025)第39批,2025-11-04,安徽期奇信息科技有限公司,B2-20254028,国内呼叫中心业务,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=489,2025
工信部,注销公示,关于拟注销北京闪信科技有限公司等194家企业跨地区增值电信业务经营许可的公示,2025-12-01,安徽信士网络科技有限公司,B2-20192485,国内呼叫中心业务,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=495,2025
工信部,新发证名单,《中华人民共和国增值电信业务经营许可证》发放名单-(2025)第35批,2025-09-29,芜湖辛巴网络科技有限公司,合字B2-20250537,国内呼叫中心业务,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=482,2025
工信部,新发证名单,《中华人民共和国增值电信业务经营许可证》发放名单-(2025)第33批,2025-09-15,安徽徽盾信息技术有限公司,B2-20253412,国内呼叫中心业务,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=477,2025
工信部,新发证名单,《中华人民共和国增值电信业务经营许可证》发放名单-(2025)第33批,2025-09-15,马鞍山市泽旭科技有限公司,B2-20253413,国内呼叫中心业务,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=477,2025
工信部,注销公示,关于拟注销福建东泰安信息科技有限公司等 150家企业跨地区增值电信业务经营许可的公示,2025-09-24,合肥旗御信息科技有限公司,B2-20150852,国内呼叫中心业务,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=481,2025
工信部,新发证名单,《中华人民共和国增值电信业务经营许可证》发放名单-(2025)第28批,2025-08-01,安徽旌众科技有限公司,B2-20252869,国内呼叫中心业务,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=467,2025
工信部,新发证名单,《中华人民共和国增值电信业务经营许可证》发放名单-(2025)第26批,2025-07-16,安徽垂创信息技术有限公司,B2-20252638,国内呼叫中心业务,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=463,2025
工信部,新发证名单,《中华人民共和国增值电信业务经营许可证》发放名单-(2025)第25批,2025-07-14,合肥众创信息技术有限公司,B2-20252491,国内呼叫中心业务,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=462,2025
工信部,新发证名单,《中华人民共和国增值电信业务经营许可证》发放名单-(2025)第25批,2025-07-14,安徽展星信息技术有限公司,B2-20222273,国内呼叫中心业务,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=462,2025
工信部,新发证名单,《中华人民共和国增值电信业务经营许可证》发放名单-(2025)第25批,2025-07-14,安徽优锦信息科技有限公司,B1.B2-20251321,国内呼叫中心业务,安徽,混合-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=462,2025
工信部,注销公示,关于拟注销福建行超新材料科技有限公司等 150家企业跨地区增值电信业务经营许可的公示,2025-07-16,安徽淘礼网科技有限公司,合字B2-20200072,在线数据处理与交易处理业务、国内呼叫中心业务,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=464,2025
工信部,新发证名单,《中华人民共和国增值电信业务经营许可证》发放名单-(2025)第24批,2025-07-07,安徽快智乐服信息科技有限公司,B2-20252363,国内呼叫中心业务,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=461,2025
工信部,新发证名单,《中华人民共和国增值电信业务经营许可证》发放名单-(2025)第24批,2025-07-07,安徽非羽网络科技股份有限公司,B2-20214656,国内呼叫中心业务,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=461,2025
工信部,新发证名单,《中华人民共和国增值电信业务经营许可证》发放名单-(2025)第27批,2025-07-24,合肥宏鎏通信技术有限公司,B2-20241008,国内呼叫中心业务,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=465,2025
工信部,新发证名单,《中华人民共和国增值电信业务经营许可证》发放名单-(2025)第19批,2025-06-03,合肥和君纵达数据信息技术有限公司,B2-20251830,国内呼叫中心业务,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=451,2025
工信部,新发证名单,《中华人民共和国增值电信业务经营许可证》发放名单-(2025)第19批,2025-06-03,安徽新创悦信息科技有限公司,B2-20251835,国内呼叫中心业务,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=451,2025
工信部,新发证名单,《中华人民共和国增值电信业务经营许可证》发放名单-(2025)第16批,2025-05-12,合肥松品网络科技有限公司,B2-20231513,国内呼叫中心业务,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=445,2025
工信部,新发证名单,《中华人民共和国增值电信业务经营许可证》发放名单-(2025)第11批,2025-04-07,安徽多方云计算有限公司,B1.B2-20222167,国内呼叫中心业务,安徽,混合-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=437,2025
工信部,新发证名单,《中华人民共和国增值电信业务经营许可证》发放名单-(2025)第6批,2025-02-28,安徽省风鸾信息科技有限公司,B2-20250657,国内呼叫中心业务,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=429,2025
工信部,新发证名单,《中华人民共和国增值电信业务经营许可证》发放名单-(2025)第3批,2025-01-24,安徽聚成控股有限公司,B2-20250282,国内呼叫中心业务,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=424,2025
工信部,新发证名单,《中华人民共和国增值电信业务经营许可证》发放名单-(2025)第3批,2025-01-24,蚌埠君客电子商务有限公司,B2-20250386,国内呼叫中心业务,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=424,2025
工信部,注销公示,关于拟注销杭州平治信息技术股份有限公司等 148家企业跨地区增值电信业务经营许可的公示,2025-01-24,安徽省渠道网络集团股份有限公司,B2-20150015,国内呼叫中心业务、信息服务业务（不含互联网信息服务）,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=423,2025
工信部,新发证名单,《中华人民共和国增值电信业务经营许可证》发放名单-(2024)第36批,2024-11-01,芜湖瑞盈汽车服务有限公司,合字B2-20240512,国内呼叫中心业务,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=399,2024
工信部,注销公示,关于拟注销北京天鸿福商贸有限公司等 101家企业跨地区增值电信业务经营许可的公示,2024-11-07,安徽华勤企业管理咨询有限公司,B2-20195032,国内呼叫中心业务、信息服务业务（不含互联网信息服务）,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=402,2024
工信部,注销公示,关于拟注销福建闵酷划在线通信科技有限公司等 186家企业跨地区增值电信业务经营许可的公示,2024-09-25,安徽期奇信息科技有限公司,B2-20195000,国内呼叫中心业务、信息服务业务（不含互联网信息服务）,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=390,2024
工信部,注销公示,关于拟注销福建闵酷划在线通信科技有限公司等 186家企业跨地区增值电信业务经营许可的公示,2024-09-25,安徽省申祥锦山信息科技有限公司,B2-20195086,国内呼叫中心业务,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=390,2024
工信部,注销公示,关于拟注销广州移娱信息科技有限公司等 146家企业跨地区增值电信业务经营许可的公示,2024-11-20,大禹（安徽）数字科技有限公司,B2-20195628,国内呼叫中心业务、信息服务业务（不含互联网信息服务）,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=404,2024
工信部,注销公示,关于拟注销广州移娱信息科技有限公司等 146家企业跨地区增值电信业务经营许可的公示,2024-11-20,合肥兴藏泰和艺术品文化发展有限公司,B2-20195651,国内呼叫中心业务,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=404,2024
工信部,新发证名单,《中华人民共和国增值电信业务经营许可证》发放名单-(2024)第26批,2024-08-22,安徽麒麟万向大数据科技有限公司,B2-20242527,国内呼叫中心业务,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=379,2024
工信部,注销公示,关于拟注销北京博维思通科技有限公司等 150家企业跨地区增值电信业务经营许可的公示,2024-08-23,安徽新创悦信息科技有限公司,B2-20193775,国内呼叫中心业务、信息服务业务（不含互联网信息服务）,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=381,2024
工信部,注销公示,关于拟注销北京博维思通科技有限公司等 150家企业跨地区增值电信业务经营许可的公示,2024-08-23,安徽富泰信息科技有限公司,B2-20193812,国内呼叫中心业务、信息服务业务（不含互联网信息服务）,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=381,2024
工信部,注销公示,关于拟注销北京博维思通科技有限公司等 150家企业跨地区增值电信业务经营许可的公示,2024-08-23,安徽资信汽车服务有限公司,B2-20193822,国内呼叫中心业务,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=381,2024
工信部,注销公示,关于拟注销深圳市优品投资顾问有限公司等 208家企业跨地区增值电信业务经营许可的公示,2024-09-02,合肥银海人力资源管理咨询有限公司,B2-20194201,国内呼叫中心业务,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=384,2024
工信部,注销公示,关于拟注销深圳市优品投资顾问有限公司等 208家企业跨地区增值电信业务经营许可的公示,2024-09-02,安徽云略信息技术有限公司,B2-20194408,国内呼叫中心业务,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=384,2024
工信部,注销公示,关于拟注销大运盈通（北京）数码科技有限公司等 196家企业跨地区增值电信业务经营许可的公示,2024-08-19,合肥圆融信息科技有限公司,B2-20193350,国内呼叫中心业务,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=380,2024
工信部,注销公示,关于拟注销大运盈通（北京）数码科技有限公司等 196家企业跨地区增值电信业务经营许可的公示,2024-08-19,合肥泰网网络通信技术服务有限公司,B2-20193386,国内呼叫中心业务,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=380,2024
工信部,注销公示,关于拟注销大运盈通（北京）数码科技有限公司等 196家企业跨地区增值电信业务经营许可的公示,2024-08-19,安徽明融信息技术服务有限公司,B2-20193513,国内呼叫中心业务,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=380,2024
工信部,注销公示,关于拟注销大运盈通（北京）数码科技有限公司等 196家企业跨地区增值电信业务经营许可的公示,2024-08-19,安徽艺客影视文化传媒有限公司,B2-20193612,国内呼叫中心业务,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=380,2024
工信部,注销公示,关于拟注销大运盈通（北京）数码科技有限公司等 196家企业跨地区增值电信业务经营许可的公示,2024-08-19,安徽弘信企业管理咨询有限公司,B2-20193635,国内呼叫中心业务,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=380,2024
工信部,注销公示,关于拟注销宁波牛信网络科技有限公司等 244家企业跨地区增值电信业务经营许可的公示,2024-08-15,安徽快易得数据科技有限公司,B2-20192825,国内呼叫中心业务、信息服务业务（不含互联网信息服务）,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=378,2024
工信部,注销公示,关于拟注销宁波牛信网络科技有限公司等 244家企业跨地区增值电信业务经营许可的公示,2024-08-15,安徽小微易融信息咨询服务有限公司,B2-20192872,国内呼叫中心业务,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=378,2024
工信部,注销公示,关于拟注销宁波牛信网络科技有限公司等 244家企业跨地区增值电信业务经营许可的公示,2024-08-15,安徽金思信息科技有限公司,B2-20193042,国内呼叫中心业务、信息服务业务（不含互联网信息服务）,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=378,2024
工信部,注销公示,关于拟注销宁波牛信网络科技有限公司等 244家企业跨地区增值电信业务经营许可的公示,2024-08-15,合肥南海融信企业管理咨询有限公司,B2-20193069,国内呼叫中心业务,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=378,2024
工信部,新发证名单,《中华人民共和国增值电信业务经营许可证》发放名单-(2024)第14批,2024-05-21,安徽天骋科技有限公司,B2-20221438,国内呼叫中心业务,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=359,2024
工信部,注销公示,关于拟注销北京晟元亿讯科技有限公司等 232家企业跨地区增值电信业务经营许可的公示,2024-09-13,安徽省乐嘉信息科技有限公司,B2-20194550,国内呼叫中心业务,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=388,2024
工信部,注销公示,关于拟注销北京晟元亿讯科技有限公司等 232家企业跨地区增值电信业务经营许可的公示,2024-09-13,合肥杰宽金融外包服务有限公司,B2-20194651,国内呼叫中心业务,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=388,2024
工信部,注销公示,关于拟注销北京晟元亿讯科技有限公司等 232家企业跨地区增值电信业务经营许可的公示,2024-09-13,安徽灿创金融服务外包有限公司,B2-20194713,国内呼叫中心业务,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=388,2024
工信部,注销公示,关于拟注销北京晟元亿讯科技有限公司等 232家企业跨地区增值电信业务经营许可的公示,2024-09-13,合肥文化产业发展股份有限公司,B2-20194714,国内呼叫中心业务,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=388,2024
工信部,注销公示,关于拟注销北京晟元亿讯科技有限公司等 232家企业跨地区增值电信业务经营许可的公示,2024-09-13,安徽亿盛金融外包服务有限公司,B2-20194783,国内呼叫中心业务,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=388,2024
工信部,注销公示,关于拟注销南通北达信科技发展有限公司等 138家企业跨地区增值电信业务经营许可的公示,2024-03-14,安徽普诺金融外包服务有限公司,B2-20190749,国内呼叫中心业务,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=347,2024
工信部,注销公示,关于拟注销南通北达信科技发展有限公司等 138家企业跨地区增值电信业务经营许可的公示,2024-03-14,安徽网腾信息技术有限公司,B2-20190762,国内呼叫中心业务,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=347,2024
工信部,注销公示,关于拟注销南通北达信科技发展有限公司等 138家企业跨地区增值电信业务经营许可的公示,2024-03-14,安徽徽音信息科技有限公司,B2-20190794,国内呼叫中心业务,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=347,2024
工信部,新发证名单,《中华人民共和国增值电信业务经营许可证》发放名单-(2024)第6批,2024-03-08,合肥艺趣信息技术有限公司,B2-20240645,国内呼叫中心业务,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=346,2024
工信部,新发证名单,《中华人民共和国增值电信业务经营许可证》发放名单-(2024)第6批,2024-03-08,安庆和君纵达数据科技有限公司,B2-20240647,国内呼叫中心业务,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=346,2024
工信部,新发证名单,《中华人民共和国增值电信业务经营许可证》发放名单-(2024)第5批,2024-03-01,中智（安徽）科技服务有限公司,B2-20240582,国内呼叫中心业务,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=344,2024
工信部,注销公示,关于拟注销北京恒信仪和信息技术有限公司等 174家企业跨地区增值电信业务经营许可的公示,2024-03-28,安徽迪迪云文化传媒有限公司,B2-20190991,国内呼叫中心业务、信息服务业务（不含互联网信息服务）,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=349,2024
工信部,注销公示,关于拟注销北京恒信仪和信息技术有限公司等 174家企业跨地区增值电信业务经营许可的公示,2024-03-28,安徽恒律商务咨询有限公司,B2-20191027,国内呼叫中心业务,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=349,2024
工信部,注销公示,关于拟注销北京恒信仪和信息技术有限公司等 174家企业跨地区增值电信业务经营许可的公示,2024-03-28,安徽俊华科技有限公司,B2-20191149,国内呼叫中心业务、信息服务业务（不含互联网信息服务）,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=349,2024
工信部,注销公示,关于拟注销河南省邦汇电子科技有限公司等 256家企业跨地区增值电信业务经营许可的公示,2024-04-30,安徽蒙易网络科技有限公司,B2-20191288,国内呼叫中心业务,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=356,2024
工信部,注销公示,关于拟注销河南省邦汇电子科技有限公司等 256家企业跨地区增值电信业务经营许可的公示,2024-04-30,安徽贷管佳金融外包服务有限公司,B2-20191293,国内呼叫中心业务,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=356,2024
工信部,注销公示,关于拟注销河南省邦汇电子科技有限公司等 256家企业跨地区增值电信业务经营许可的公示,2024-04-30,合肥迪凡网络科技服务有限公司,B2-20191294,国内呼叫中心业务,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=356,2024
工信部,注销公示,关于拟注销河南省邦汇电子科技有限公司等 256家企业跨地区增值电信业务经营许可的公示,2024-04-30,合肥万马堂汽车服务有限公司,B2-20191504,国内呼叫中心业务,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=356,2024
工信部,注销公示,关于拟注销河南省邦汇电子科技有限公司等 256家企业跨地区增值电信业务经营许可的公示,2024-04-30,安徽硕恒企业管理有限公司,B2-20191544,国内呼叫中心业务、信息服务业务（不含互联网信息服务）,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=356,2024
工信部,注销公示,关于拟注销河南省邦汇电子科技有限公司等 256家企业跨地区增值电信业务经营许可的公示,2024-04-30,合肥晨熙商务咨询有限公司,B2-20191555,国内呼叫中心业务,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=356,2024
工信部,新发证名单,《中华人民共和国增值电信业务经营许可证》发放名单-(2023)第35批,2023-10-31,八度云计算（安徽）有限公司,B2-20212627,国内呼叫中心业务,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=321,2023
工信部,新发证名单,《中华人民共和国增值电信业务经营许可证》发放名单-(2023)第25批,2023-08-14,安徽大企网络科技有限公司,B1.B2-20231340,国内呼叫中心业务,安徽,混合-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=303,2023
工信部,新发证名单,《中华人民共和国增值电信业务经营许可证》发放名单-(2023)第22批,2023-07-14,安徽弘益通盈科技有限公司,B2-20184718,（1）注销业务种类：国内呼叫中心业务,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=297,2023
工信部,注销批准,《中华人民共和国增值电信业务经营许可证》发放名单-(2023)第22批,2023-07-14,安徽弘益通盈科技有限公司,,国内呼叫中心业务,安徽,未知,https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=297,2023
工信部,注销公示,关于拟注销深圳市华博科技开发有限公司等233家企业跨地区增值电信业务经营许可的公示,2023-06-05,安徽弘益通盈科技有限公司,B2-20184718,国内呼叫中心业务,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=286,2023
工信部,注销公示,关于拟注销深圳市华博科技开发有限公司等233家企业跨地区增值电信业务经营许可的公示,2023-06-05,合肥雅恩网络科技有限公司,B2-20181694,国内呼叫中心业务、信息服务业务（不含互联网信息服务）,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=286,2023
工信部,注销公示,关于拟注销深圳市华博科技开发有限公司等233家企业跨地区增值电信业务经营许可的公示,2023-06-05,安徽钱多多信息技术有限公司,B2-20181724,国内呼叫中心业务,安徽,B2-(全网),https://tsm.miit.gov.cn/dxxzsp/help/noticeDetail.jsp?id=286,2023
